Transaction_ID,Date,Time,Store_Name,Store_ID,Region,Category,Product_Name,Brand,SKU,Quantity,Unit_Price,Subtotal,Discount_Percent,Discount_Amount,Tax_Rate,Tax_Amount,Total_Amount,Cost_Per_Unit,Total_Cost,Profit,Profit_Margin,Payment_Method,Customer_Type,Customer_ID,Sales_Channel,Sales_Rep_ID,Promotion_Code,Shipping_Cost,Return_Status,Customer_Rating,Inventory_Status
TXN000039,2023-05-25,20:37:20,Tampa Bay Street,ST020,West,Accessories,Belt,Elite Brand F,ACC5738,2,254.71,509.42,5,25.47,0.08,38.72,522.67,190.91,381.82,140.85,26.95,Debit Card,New,CUST4653,In-Store,REP796,NONE,9.04,No,3,Out of Stock
TXN000040,2023-11-12,20:25:07,Phoenix Fashion Square,ST006,Midwest,Home & Living,Vase,Designer Brand C,HOM7799,3,348.02,1044.06,0,0.0,0.08,83.52,1127.58,240.15,720.45,407.13,36.11,Debit Card,Regular,CUST1338,Phone Order,REP185,NONE,16.46,No,2,Low Stock
TXN000041,2023-09-17,19:05:32,Atlanta Buckhead,ST018,Southeast,Clothing,Jacket,Classic Brand D,CLO2996,5,199.23,996.15,10,99.61,0.08,71.72,968.26,136.93,684.65,283.61,29.29,Gift Card,Returning,CUST1812,Online,REP150,NONE,0,No,4,Low Stock
TXN000042,2023-11-27,20:09:13,Phoenix Fashion Square,ST006,West,Electronics,Laptop,Exclusive Brand J,ELE9016,5,1281.02,6405.1,0,0.0,0.08,512.41,6917.51,931.75,4658.75,2258.76,32.65,Gift Card,Regular,CUST8611,Online,REP915,NONE,4.72,No,3,Out of Stock
TXN000043,2022-06-07,21:16:20,Las Vegas Strip,ST017,Southwest,Footwear,Sandals,Exclusive Brand J,FOO8198,2,282.54,565.08,25,141.27,0.08,33.9,457.71,181.57,363.14,94.57,20.66,Cash,New,CUST6779,Mobile App,REP661,NONE,22.24,No,5,Out of Stock
TXN000044,2022-12-12,14:22:10,Miami Beach,ST004,Northeast,Books & Media,Audio Book,Signature Brand G,BOO9430,3,46.04,138.12,0,0.0,0.08,11.05,149.17,31.58,94.74,54.43,36.49,Credit Card,Member,CUST3371,Online,REP898,NEWCUST10,18.35,No,1,In Stock
TXN000045,2023-09-29,15:18:29,Boston Newbury Street,ST015,Southwest,Toys & Games,Puzzle,Signature Brand G,TOY8922,3,84.51,253.53,10,25.35,0.08,18.25,246.43,55.08,165.24,81.19,32.95,Gift Card,New,CUST3938,Online,REP778,WINTER25,10.38,No,5,In Stock
TXN000046,2022-05-06,15:39:42,Atlanta Buckhead,ST018,Northeast,Sports & Outdoors,Bicycle,Exclusive Brand J,SPO3660,2,794.76,1589.52,25,397.38,0.08,95.37,1287.51,541.72,1083.44,204.07,15.85,Debit Card,New,CUST9901,Phone Order,REP509,WINTER25,22.27,Yes,1,Out of Stock
TXN000047,2023-04-03,18:51:26,Austin Domain,ST012,Midwest,Accessories,Watch,Luxury Brand B,ACC1486,3,327.82,983.46,30,295.04,0.08,55.07,743.49,226.83,680.49,63.0,8.47,Gift Card,Member,CUST2466,Online,REP992,VIP30,17.83,No,4,Low Stock
TXN000048,2022-10-23,20:57:17,Portland Pearl District,ST016,West,Electronics,Headphones,Exclusive Brand J,ELE3011,3,655.67,1967.01,5,98.35,0.08,149.49,2018.15,404.24,1212.72,805.43,39.91,Debit Card,Member,CUST1842,Online,REP782,WINTER25,0,No,4,In Stock
TXN000049,2022-04-01,16:42:33,San Diego Gaslamp,ST009,Southwest,Toys & Games,Building Blocks,Heritage Brand H,TOY7515,5,95.45,477.25,30,143.18,0.08,26.73,360.8,65.43,327.15,33.65,9.33,Credit Card,Returning,CUST3557,Phone Order,REP357,WINTER25,2.46,No,4,In Stock
TXN000050,2023-09-27,20:16:32,Seattle Pike Place,ST013,West,Toys & Games,Video Game,Signature Brand G,TOY9135,4,20.2,80.8,25,20.2,0.08,4.85,65.45,13.09,52.36,13.09,20.0,Credit Card,VIP,CUST6268,Mobile App,REP374,SUMMER20,21.28,No,4,Low Stock
TXN000051,2022-03-11,19:20:49,Philadelphia Center City,ST007,Southeast,Electronics,Smartwatch,Signature Brand G,ELE1634,1,1197.98,1197.98,30,359.39,0.08,67.09,905.68,946.35,946.35,-40.67,-4.49,Digital Wallet,Regular,CUST7525,In-Store,REP386,NONE,1.74,Yes,2,Out of Stock
TXN000052,2023-04-12,19:47:10,Seattle Pike Place,ST013,Northeast,Beauty & Personal Care,Shampoo,Exclusive Brand J,BEA6272,2,21.04,42.08,25,10.52,0.08,2.52,34.08,15.03,30.06,4.02,11.8,Credit Card,Member,CUST3363,Online,REP210,WINTER25,4.35,No,3,Low Stock
TXN000053,2023-05-30,11:54:08,Los Angeles Downtown,ST002,West,Sports & Outdoors,Bicycle,Luxury Brand B,SPO1274,2,349.24,698.48,25,174.62,0.08,41.91,565.77,235.79,471.58,94.19,16.65,Cash,Returning,CUST4601,Mobile App,REP246,NONE,19.28,No,1,Low Stock
TXN000054,2023-07-22,13:23:07,Austin Domain,ST012,Midwest,Electronics,Tablet,Classic Brand D,ELE2914,3,1400.23,4200.69,0,0.0,0.08,336.06,4536.75,1010.03,3030.09,1506.66,33.21,Credit Card,Member,CUST3190,In-Store,REP188,NONE,12.85,No,1,Out of Stock
TXN000055,2023-05-17,21:13:40,Denver Cherry Creek,ST014,Southeast,Jewelry,Earrings,Designer Brand C,JEW3906,1,1168.1,1168.1,25,292.02,0.08,70.09,946.17,736.83,736.83,209.34,22.12,Digital Wallet,VIP,CUST9863,In-Store,REP555,WINTER25,18.71,Yes,3,In Stock
TXN000056,2022-01-05,16:21:44,Atlanta Buckhead,ST018,Northeast,Electronics,Laptop,Designer Brand C,ELE6305,2,984.4,1968.8,0,0.0,0.08,157.5,2126.3,745.32,1490.64,635.66,29.9,Buy Now Pay Later,VIP,CUST8041,In-Store,REP231,NONE,9.72,No,5,In Stock
TXN000057,2023-09-29,09:01:59,Tampa Bay Street,ST020,Southwest,Beauty & Personal Care,Makeup Kit,Luxury Brand B,BEA6726,5,35.05,175.25,30,52.58,0.08,9.81,132.48,21.23,106.15,26.33,19.87,Credit Card,New,CUST8618,In-Store,REP321,NONE,0,No,4,Low Stock
TXN000058,2022-07-26,16:49:09,San Diego Gaslamp,ST009,Southeast,Home & Living,Mirror,Premium Brand A,HOM7391,5,368.35,1841.75,20,368.35,0.08,117.87,1591.27,221.82,1109.1,482.17,30.3,Buy Now Pay Later,New,CUST2075,Mobile App,REP702,FLASH15,24.11,No,1,In Stock
TXN000059,2022-06-29,18:52:57,Orlando Mall,ST019,Southeast,Sports & Outdoors,Hiking Boots,Exclusive Brand J,SPO7413,2,411.54,823.08,20,164.62,0.08,52.68,711.14,325.84,651.68,59.46,8.36,Gift Card,New,CUST9515,Mobile App,REP762,NONE,0,No,5,In Stock
TXN000060,2023-06-17,12:26:54,Phoenix Fashion Square,ST006,Southwest,Electronics,Smartwatch,Heritage Brand H,ELE5611,4,370.49,1481.96,20,296.39,0.08,94.85,1280.42,290.58,1162.32,118.1,9.22,Credit Card,New,CUST5389,Online,REP197,NONE,9.36,No,3,Low Stock
TXN000061,2023-09-21,21:17:04,Houston Galleria,ST005,West,Toys & Games,Doll,Elite Brand F,TOY6066,4,81.74,326.96,10,32.7,0.08,23.54,317.8,64.62,258.48,59.32,18.67,Cash,Member,CUST6893,Mobile App,REP678,SUMMER20,4.04,No,4,Out of Stock
TXN000062,2022-12-07,09:15:13,Austin Domain,ST012,West,Sports & Outdoors,Tennis Racket,Elite Brand F,SPO4256,4,159.91,639.64,0,0.0,0.08,51.17,690.81,100.12,400.48,290.33,42.03,Digital Wallet,Regular,CUST2874,Phone Order,REP921,NONE,10.3,No,4,Low Stock
TXN000063,2023-09-24,15:10:40,Las Vegas Strip,ST017,Southeast,Books & Media,Novel,Elite Brand F,BOO8314,5,39.26,196.3,10,19.63,0.08,14.13,190.8,31.19,155.95,34.85,18.27,Gift Card,VIP,CUST2521,Phone Order,REP860,WINTER25,9.55,No,2,In Stock
TXN000064,2022-02-16,20:34:55,Las Vegas Strip,ST017,Southeast,Home & Living,Wall Art,Signature Brand G,HOM2627,5,121.08,605.4,30,181.62,0.08,33.9,457.68,93.13,465.65,-7.97,-1.74,Credit Card,New,CUST8835,Phone Order,REP791,FLASH15,11.12,No,5,In Stock
TXN000065,2023-09-20,20:23:41,San Jose Valley Fair,ST011,West,Jewelry,Brooch,Designer Brand C,JEW5701,3,3471.55,10414.65,15,1562.2,0.08,708.2,9560.65,2546.75,7640.25,1920.4,20.09,Credit Card,Regular,CUST9330,Phone Order,REP732,NEWCUST10,0,No,5,In Stock
TXN000066,2023-12-11,18:54:03,Miami Beach,ST004,Southwest,Electronics,Camera,Classic Brand D,ELE6885,3,972.61,2917.83,5,145.89,0.08,221.76,2993.7,680.7,2042.1,951.6,31.79,Digital Wallet,VIP,CUST5094,Mobile App,REP376,NONE,5.65,No,2,In Stock
TXN000067,2023-03-20,20:36:51,Seattle Pike Place,ST013,Southwest,Jewelry,Ring,Classic Brand D,JEW5632,5,2024.77,10123.85,0,0.0,0.08,809.91,10933.76,1366.31,6831.55,4102.21,37.52,Buy Now Pay Later,Returning,CUST5090,In-Store,REP519,WINTER25,8.08,No,4,Out of Stock
TXN000068,2023-01-19,21:02:01,San Diego Gaslamp,ST009,Southwest,Toys & Games,Doll,Contemporary Brand I,TOY8440,2,49.73,99.46,25,24.86,0.08,5.97,80.57,37.94,75.88,4.69,5.82,Digital Wallet,Returning,CUST7443,In-Store,REP198,FLASH15,20.09,Yes,5,In Stock
TXN000069,2022-05-11,14:38:55,Seattle Pike Place,ST013,Southwest,Toys & Games,Doll,Designer Brand C,TOY7177,3,36.97,110.91,15,16.64,0.08,7.54,101.81,24.0,72.0,29.81,29.28,Buy Now Pay Later,VIP,CUST9728,Online,REP296,FLASH15,3.13,No,1,In Stock
TXN000070,2023-04-10,18:27:54,New York Flagship,ST001,Southeast,Electronics,Gaming Console,Exclusive Brand J,ELE4346,5,1609.44,8047.2,30,2414.16,0.08,450.64,6083.68,1094.08,5470.4,613.28,10.08,Debit Card,Member,CUST2016,Online,REP378,NONE,0,No,3,Low Stock
TXN000071,2022-12-25,21:18:49,Las Vegas Strip,ST017,Midwest,Beauty & Personal Care,Perfume,Contemporary Brand I,BEA8144,2,46.72,93.44,0,0.0,0.08,7.48,100.92,36.12,72.24,28.68,28.42,Gift Card,Returning,CUST8755,Mobile App,REP906,VIP30,0,No,2,Low Stock
TXN000072,2022-11-20,17:01:54,Seattle Pike Place,ST013,Southeast,Jewelry,Brooch,Designer Brand C,JEW1316,5,4841.29,24206.45,30,7261.94,0.08,1355.56,18300.07,3125.25,15626.25,2673.82,14.61,Gift Card,Regular,CUST6089,Mobile App,REP962,VIP30,19.42,No,4,Out of Stock
TXN000073,2022-07-08,21:11:21,San Antonio Riverwalk,ST008,Midwest,Electronics,Headphones,Elite Brand F,ELE8499,4,1271.9,5087.6,0,0.0,0.08,407.01,5494.61,869.23,3476.92,2017.69,36.72,Cash,Regular,CUST2282,Mobile App,REP682,WINTER25,9.61,Yes,4,In Stock
TXN000074,2022-10-24,09:46:32,Phoenix Fashion Square,ST006,Northeast,Electronics,Gaming Console,Modern Brand E,ELE7244,3,1357.59,4072.77,5,203.64,0.08,309.53,4178.66,893.02,2679.06,1499.6,35.89,Credit Card,VIP,CUST1842,In-Store,REP562,NONE,19.31,No,5,Out of Stock
TXN000075,2023-04-05,17:17:25,New York Flagship,ST001,West,Toys & Games,Puzzle,Heritage Brand H,TOY4042,1,75.3,75.3,0,0.0,0.08,6.02,81.32,53.17,53.17,28.15,34.62,Gift Card,Member,CUST7182,Mobile App,REP806,VIP30,0,No,3,Low Stock
TXN000076,2022-04-23,19:27:40,San Antonio Riverwalk,ST008,Midwest,Footwear,Boots,Premium Brand A,FOO5983,1,281.04,281.04,0,0.0,0.08,22.48,303.52,184.09,184.09,119.43,39.35,Digital Wallet,Member,CUST6894,Mobile App,REP792,NONE,9.99,No,4,In Stock
TXN000077,2022-02-27,10:35:00,San Diego Gaslamp,ST009,Midwest,Footwear,Running Shoes,Elite Brand F,FOO8092,1,210.48,210.48,20,42.1,0.08,13.47,181.85,142.35,142.35,39.5,21.72,Debit Card,VIP,CUST7557,Online,REP677,WINTER25,3.23,Yes,3,In Stock
TXN000078,2023-08-10,12:52:34,Philadelphia Center City,ST007,Southeast,Jewelry,Necklace,Signature Brand G,JEW6055,1,4365.96,4365.96,10,436.6,0.08,314.35,4243.71,2780.0,2780.0,1463.71,34.49,Gift Card,Member,CUST6968,Online,REP163,NONE,21.26,No,4,Out of Stock
TXN000079,2022-10-13,14:03:11,Dallas NorthPark,ST010,Southeast,Sports & Outdoors,Yoga Mat,Contemporary Brand I,SPO2041,2,731.25,1462.5,5,73.12,0.08,111.15,1500.53,460.79,921.58,578.95,38.58,Credit Card,VIP,CUST7136,In-Store,REP404,NEWCUST10,5.39,No,3,In Stock
TXN000080,2023-09-12,17:35:08,San Jose Valley Fair,ST011,Southeast,Beauty & Personal Care,Makeup Kit,Classic Brand D,BEA4250,4,126.51,506.04,20,101.21,0.08,32.39,437.22,97.63,390.52,46.7,10.68,Digital Wallet,New,CUST9871,Mobile App,REP420,NONE,22.61,No,1,Low Stock
TXN000081,2023-06-08,12:19:46,Tampa Bay Street,ST020,Southwest,Accessories,Belt,Modern Brand E,ACC7390,4,289.72,1158.88,5,57.94,0.08,88.08,1189.02,208.49,833.96,355.06,29.86,Buy Now Pay Later,VIP,CUST9470,Phone Order,REP587,FLASH15,14.57,No,1,In Stock
TXN000082,2022-09-01,14:38:23,Denver Cherry Creek,ST014,Northeast,Jewelry,Earrings,Contemporary Brand I,JEW8291,2,2443.96,4887.92,0,0.0,0.08,391.03,5278.95,1806.46,3612.92,1666.03,31.56,Gift Card,Returning,CUST6694,Mobile App,REP759,NONE,15.83,No,5,Out of Stock
TXN000083,2022-02-20,17:50:12,Portland Pearl District,ST016,West,Home & Living,Mirror,Contemporary Brand I,HOM9642,5,161.28,806.4,0,0.0,0.08,64.51,870.91,114.25,571.25,299.66,34.41,Digital Wallet,Regular,CUST3285,Online,REP605,NONE,1.9,No,4,In Stock
TXN000084,2022-09-14,11:56:03,Dallas NorthPark,ST010,Southwest,Accessories,Watch,Heritage Brand H,ACC5734,2,39.83,79.66,10,7.97,0.08,5.74,77.43,26.08,52.16,25.27,32.64,Digital Wallet,Returning,CUST9172,Online,REP256,NEWCUST10,6.09,No,2,Low Stock
TXN000085,2023-02-21,14:46:47,Denver Cherry Creek,ST014,Southeast,Footwear,Sandals,Elite Brand F,FOO6270,2,231.16,462.32,0,0.0,0.08,36.99,499.31,162.65,325.3,174.01,34.85,Gift Card,Regular,CUST8667,Phone Order,REP406,FLASH15,0,No,3,In Stock
TXN000086,2023-04-25,09:03:30,San Diego Gaslamp,ST009,Southwest,Books & Media,Magazine,Contemporary Brand I,BOO4107,3,48.14,144.42,25,36.1,0.08,8.67,116.99,37.77,113.31,3.68,3.15,Credit Card,VIP,CUST4554,Mobile App,REP500,NONE,21.08,Yes,4,In Stock
TXN000087,2022-02-06,14:26:50,Orlando Mall,ST019,West,Beauty & Personal Care,Body Lotion,Designer Brand C,BEA2958,4,101.41,405.64,15,60.85,0.08,27.58,372.37,62.68,250.72,121.65,32.67,Buy Now Pay Later,Member,CUST4866,Phone Order,REP584,NONE,6.37,No,4,In Stock
TXN000088,2023-08-25,19:27:20,Philadelphia Center City,ST007,Southwest,Accessories,Sunglasses,Contemporary Brand I,ACC1958,1,35.12,35.12,30,10.54,0.08,1.97,26.55,26.11,26.11,0.44,1.66,Debit Card,Regular,CUST6690,Phone Order,REP805,NEWCUST10,0,No,3,In Stock
